id_jugador,jugador,equipo,feat8
"7261,Daniele Bonera,,""0,0"""
"10316,Joaquín Sánchez Rodríguez,Real Betis,""6,216056670602125"""
"11129,David López,Espanyol,""0,7912087912087912"""
"11602,Borja Fernández,Real Valladolid,""0,6436233611442193"""
"14028,Juan José Camacho Barnola,Huesca,""2,6470588235294117"""
"14464,Aritz Aduriz,Athletic Club,""2,104144527098831"""
"14725,Gorka Iraizoz,,""0,0"""
"15943,Thomas Vermaelen,Barcelona,""1,2265758091993186"""
"16021,Diego López,,""0,0"""
