id_jugador,jugador,equipo,feat2
"7261,Daniele Bonera,,""0,0"""
"10316,Joaquín Sánchez Rodríguez,Real Betis,""0,26564344746162927"""
"11129,David López,Espanyol,""0,04945054945054945"""
"11602,Borja Fernández,,""0,0"""
"14028,Juan José Camacho Barnola,,""0,0"""
"14464,Aritz Aduriz,Athletic Club,""0,2869287991498406"""
"14725,Gorka Iraizoz,,""0,0"""
"15943,Thomas Vermaelen,,""0,0"""
"16021,Diego López,,""0,0"""
