id_jugador,jugador,equipo,feat6
"7261,Daniele Bonera,Villarreal,""0,38626609442060084"""
"10316,Joaquín Sánchez Rodríguez,Real Betis,""1,6469893742621013"""
"11129,David López,Espanyol,""0,2967032967032967"""
"11602,Borja Fernández,Real Valladolid,""0,7508939213349226"""
"14028,Juan José Camacho Barnola,Huesca,""2,6470588235294117"""
"14464,Aritz Aduriz,Athletic Club,""2,199787460148778"""
"14725,Gorka Iraizoz,,""0,0"""
"15943,Thomas Vermaelen,Barcelona,""0,45996592844974443"""
"16021,Diego López,Espanyol,""0,052631578947368425"""
