id_jugador,jugador,equipo,feat4
"7261,Daniele Bonera,,""0,0"""
"10316,Joaquín Sánchez Rodríguez,Real Betis,""2,550177095631641"""
"11129,David López,Espanyol,""0,2967032967032967"""
"11602,Borja Fernández,Real Valladolid,""0,10727056019070322"""
"14028,Juan José Camacho Barnola,Huesca,""5,294117647058823"""
"14464,Aritz Aduriz,Athletic Club,""0,19128586609989373"""
"14725,Gorka Iraizoz,Girona,""0,16129032258064516"""
"15943,Thomas Vermaelen,,""0,0"""
"16021,Diego López,Espanyol,""0,026315789473684213"""
