id_jugador,jugador,equipo,feat5
"7261,Daniele Bonera,,""0,0"""
"10316,Joaquín Sánchez Rodríguez,Real Betis,""1,3813459268004722"""
"11129,David López,Espanyol,""0,14835164835164835"""
"11602,Borja Fernández,,""0,0"""
"14028,Juan José Camacho Barnola,,""0,0"""
"14464,Aritz Aduriz,Athletic Club,""0,5738575982996812"""
"14725,Gorka Iraizoz,,""0,0"""
"15943,Thomas Vermaelen,,""0,0"""
"16021,Diego López,,""0,0"""
