id_jugador,jugador,equipo,feat10
"7261,Daniele Bonera,Villarreal,""13,133047210300429"""
"10316,Joaquín Sánchez Rodríguez,Real Betis,""3,1877213695395517"""
"11129,David López,Espanyol,""12,956043956043954"""
"11602,Borja Fernández,Real Valladolid,""7,401668653158523"""
"14028,Juan José Camacho Barnola,,""0,0"""
"14464,Aritz Aduriz,Athletic Club,""0,6695005313496281"""
"14725,Gorka Iraizoz,Girona,""14,35483870967742"""
"15943,Thomas Vermaelen,Barcelona,""8,58603066439523"""
"16021,Diego López,Espanyol,""12,710526315789473"""
